title,isbn,author,year,copies
Dracula,9780141439846,Bram Stoker,1897,5
The Cruel Prince,9780316310277,Holly Black,2018,8
The Wicked King,9780316310352,Holly Black,2019,6
The Queen of Nothing,9780316310420,Holly Black,2019,5
The Foxhole Court,9781497424166,Nora Sakavic,2013,7
The Raven King,9781497434318,Nora Sakavic,2013,1
The King's Men,9781497434684,Nora Sakavic,2013,4
The Sunshine Court,9798323194506,Nora Sakavic,2024,5
The Golden Raven,9798313087917,Nora Sakavic,2025,3
The Song of Achilles,9780062060624,Madeline Miller,2011,8
The Gray House,9781408882412,Mariam Petrosyan,2009,5
Pioneer Summer,9781419773105,Elena Malisova and Kateryna Silvanova,2021,2
Silence of the Swallow,9785604653012,Elena Malisova and Kateryna Silvanova,2022,3
Heaven Official's Blessing vol.1,9781648279171,Mo Xiang Tong Xiu,2021,5
Heaven Official's Blessing vol.2,9781648279188,Mo Xiang Tong Xiu,2022,4
Heaven Official's Blessing vol.3,9781638582106,Mo Xiang Tong Xiu,2022,7
Heaven Official's Blessing vol.4,9781638583523,Mo Xiang Tong Xiu,2022,1
Heaven Official's Blessing vol.5,9781638585503,Mo Xiang Tong Xiu,2022,10
Heaven Official's Blessing vol.6,9781638585510,Mo Xiang Tong Xiu,2023,6
Heaven Official's Blessing vol.7,9781638585527,Mo Xiang Tong Xiu,2023,9
Heaven Official's Blessing vol.8,9781638585534,Mo Xiang Tong Xiu,2023,8
The Song of the Shrike,9785042072680,Francis Kel,2022,6
The Song of the Shrike. Renaissance,9785041645816,Francis Kel,2022,3
The Song of the Shrike. Long Live the Prince!,9785041759896,Francis Kel,2024,5
50 Days Before My Suicide,9785170886739,Stace Kramer,2015,2
Murder on the Orient Express,9780007527502,Agatha Christie,1934,1
Ten Little Niggers,9785041034979,Agatha Christie,1939,4
The Shape of Water,9785171077648,Guillermo del Toro and Daniel Kraus,2018,1
